FRANK-WOLFE ALGORITHM
iter; objective; relative_gap; alpha
1; 107795000.0000000149; 0.3148042379; 0.3871295153
2; 98086469.2333668023; 0.0872915719; 0.2542946935
3; 96565325.4438812137; 0.0365284620; 0.2391067578
4; 95984367.2293359488; 0.0509539705; 0.1665405489
5; 95423029.0717978477; 0.0259050060; 0.2031175922
6; 95076656.6949086934; 0.0241150108; 0.1211789915
7; 94885605.1744294167; 0.0217389258; 0.1074504986
8; 94733084.1856585741; 0.0148981108; 0.0879002369
9; 94647669.2934363782; 0.0147227524; 0.1166958577
10; 94535626.7459519655; 0.0130790224; 0.0670063066
11; 94478528.8066502661; 0.0119658553; 0.0389460637
12; 94448205.5324252993; 0.0076782921; 0.0482356253
13; 94424118.5900744945; 0.0096822240; 0.0795117695
14; 94374041.0142305195; 0.0083944986; 0.0454120209
15; 94349253.5116429478; 0.0086855700; 0.0275674007
16; 94333693.9967593998; 0.0057815417; 0.0357653402
17; 94320262.9892945141; 0.0075109287; 0.0641119370
18; 94288980.8433796912; 0.0071502485; 0.0286967492
19; 94275652.9360554367; 0.0057121196; 0.0561563260
20; 94254814.3581389785; 0.0058269752; 0.0246028546
21; 94245507.0848282725; 0.0060250483; 0.0388519288
22; 94230309.2008954734; 0.0053214984; 0.0228094546
23; 94222431.0075462759; 0.0047662557; 0.0418422393
24; 94209486.1129769087; 0.0053957010; 0.0340258253
25; 94197569.3601916432; 0.0062948723; 0.0205249512
26; 94189181.6994875520; 0.0034158339; 0.0225120800
27; 94184191.4759554118; 0.0047484605; 0.0361087110
28; 94173065.7617463022; 0.0042723235; 0.0198060048
29; 94167574.6881196797; 0.0043149001; 0.0356350222
30; 94157596.9000939280; 0.0043919703; 0.0179004175
31; 94152497.6117916554; 0.0036226621; 0.0323139434
32; 94144903.7234894782; 0.0045466699; 0.0190616954
33; 94139281.4551541209; 0.0031229780; 0.0274611392
34; 94133718.8495204449; 0.0043390911; 0.0186788200
35; 94128462.4883356392; 0.0031256052; 0.0251625253
36; 94123361.5062401742; 0.0041212301; 0.0245916300
37; 94116788.3629086316; 0.0035529291; 0.0117748840
38; 94114075.1541800797; 0.0023911893; 0.0216827868
39; 94110713.1440981179; 0.0041610784; 0.0168924963
40; 94106155.0175082982; 0.0025912856; 0.0317208851
41; 94100824.1363418251; 0.0035775815; 0.0145803904
42; 94097442.3849836588; 0.0029146783; 0.0259662413
43; 94092535.2090493739; 0.0036213769; 0.0207591703
44; 94087660.7756361812; 0.0032284870; 0.0104319115
45; 94085476.8761810213; 0.0018913264; 0.0126289253
46; 94083928.2671845704; 0.0030804282; 0.0202813929
47; 94079877.8552347273; 0.0024341681; 0.0153768987
48; 94077451.4843504429; 0.0030147596; 0.0098783440
49; 94075520.9368713349; 0.0021002094; 0.0279013100
50; 94071722.5199064165; 0.0035898833; 0.0151967038
51; 94068185.9738885015; 0.0022673525; 0.0194421301
52; 94065328.2111928761; 0.0028441714; 0.0152051337
53; 94062525.2217621654; 0.0025979110; 0.0153325997
54; 94059943.6629210413; 0.0024519757; 0.0141957623
55; 94057687.3599906564; 0.0021749085; 0.0202693033
56; 94054829.8246619701; 0.0024272989; 0.0156480445
57; 94052367.4024793357; 0.0030623672; 0.0090922060
58; 94050562.4524625838; 0.0015838112; 0.0103098246
59; 94049504.1256119013; 0.0022396109; 0.0200554873
60; 94046592.7049209028; 0.0024314034; 0.0101062547
61; 94044999.9274688214; 0.0021012212; 0.0178034009
62; 94042575.2106304616; 0.0025000258; 0.0102370608
63; 94040916.6922964901; 0.0017833402; 0.0145797430
64; 94039231.6080898494; 0.0023374318; 0.0140732997
65; 94037099.6657309979; 0.0022311054; 0.0074739613
66; 94036018.9632232636; 0.0012546076; 0.0079064405
67; 94035376.1489761621; 0.0020468270; 0.0109903655
68; 94033918.3681851625; 0.0017833802; 0.0115654155
69; 94032581.6164450943; 0.0019497517; 0.0172368016
70; 94030403.6320543289; 0.0018102832; 0.0079045930
71; 94029476.3456635624; 0.0020061180; 0.0133174784
72; 94027744.9976897985; 0.0019956446; 0.0093082027
73; 94026541.2809926718; 0.0017736154; 0.0160554900
74; 94024696.0183038116; 0.0020502761; 0.0118441091
75; 94023122.3908224702; 0.0019980977; 0.0064546886
76; 94022286.5955005586; 0.0013511476; 0.0088376993
77; 94021512.8239950687; 0.0018363615; 0.0170230018
78; 94019487.2530708313; 0.0018682317; 0.0072037375
79; 94018615.0913482755; 0.0016105367; 0.0159206725
80; 94016953.4514544308; 0.0017358192; 0.0074772899
81; 94016112.5407840908; 0.0016334605; 0.0147716004
82; 94014549.2344238758; 0.0020005277; 0.0086595807
83; 94013426.7186453491; 0.0014156085; 0.0098644367
84; 94012521.8566384614; 0.0014780393; 0.0098428020
85; 94011579.3038658649; 0.0018843278; 0.0079988803
86; 94010602.8041657805; 0.0013208770; 0.0078025871
87; 94009935.0340100527; 0.0016060359; 0.0128410060
88; 94008598.8059414774; 0.0015722026; 0.0099669698
89; 94007583.4320344180; 0.0018435478; 0.0059687458
90; 94006870.4207555801; 0.0011230375; 0.0141753897
91; 94005838.9552707225; 0.0020143714; 0.0101839819
92; 94004509.8482493162; 0.0013282168; 0.0043230786
93; 94004137.8512201458; 0.0010465055; 0.0098790965
94; 94003468.0996145457; 0.0019761534; 0.0085989250
95; 94002367.1776241362; 0.0012163878; 0.0093846692
96; 94001627.5705820620; 0.0015545747; 0.0100752772
97; 94000612.8337122500; 0.0015604022; 0.0092668245
98; 93999676.0714091063; 0.0013180839; 0.0077483660
99; 93999014.3642875105; 0.0013387939; 0.0093663142
100; 93998201.9195531607; 0.0012387867; 0.0081531970
101; 93997547.6232359111; 0.0016332209; 0.0096875833
102; 93996522.6907031536; 0.0013352473; 0.0078449898
103; 93995844.0470885783; 0.0012455669; 0.0095975023
104; 93995069.5645016283; 0.0012387821; 0.0058229772
105; 93994602.2595759481; 0.0013575802; 0.0121027791
106; 93993537.8393987417; 0.0014785049; 0.0057074947
107; 93992991.1564951986; 0.0010604326; 0.0105529414
108; 93992266.1835788339; 0.0012388212; 0.0051068825
109; 93991856.3919311315; 0.0012790120; 0.0119988587
110; 93990862.2835087329; 0.0016522725; 0.0070897745
111; 93990103.3982594907; 0.0010133808; 0.0073843180
112; 93989618.6048060805; 0.0012195851; 0.0064579184
113; 93989108.3727473468; 0.0009715130; 0.0091074812
114; 93988535.1926904917; 0.0015317253; 0.0090065201
115; 93987641.4467095137; 0.0012323776; 0.0094406164
116; 93986887.7111970782; 0.0012986638; 0.0061160634
117; 93986373.1746502817; 0.0011809469; 0.0106112712
118; 93985561.3765649498; 0.0012752720; 0.0071688495
119; 93984969.1218413711; 0.0012873349; 0.0043260938
120; 93984608.3639539033; 0.0009404353; 0.0059688709
121; 93984244.7603077590; 0.0012087096; 0.0109635839
122; 93983386.3694440126; 0.0012747293; 0.0060833787
123; 93982884.0197500139; 0.0010723758; 0.0092222528
124; 93982243.3334342241; 0.0013373110; 0.0052383694
125; 93981789.5493650138; 0.0009729696; 0.0087691550
126; 93981236.8626486361; 0.0012367979; 0.0057974131
127; 93980772.3893452287; 0.0009927050; 0.0085944498
128; 93980219.7094763815; 0.0012240400; 0.0050427024
129; 93979819.8954874724; 0.0009476029; 0.0077479382
130; 93979344.3067600876; 0.0012599682; 0.0076694050
131; 93978718.3532202542; 0.0011179460; 0.0037515835
132; 93978446.6738544852; 0.0007545061; 0.0068235877
133; 93978113.1875772774; 0.0013484432; 0.0055488851
134; 93977628.5178195685; 0.0008519024; 0.0107935695
135; 93977032.8776563704; 0.0012658361; 0.0052118565
136; 93976605.5573006421; 0.0009821796; 0.0089002533
137; 93976039.3213077933; 0.0012357290; 0.0071995569
138; 93975463.0324882716; 0.0011402752; 0.0036937314
139; 93975190.1967567503; 0.0006499802; 0.0084661559
140; 93974833.7519897819; 0.0013327447; 0.0067440869
141; 93974251.5588100255; 0.0008950032; 0.0029095407
142; 93974082.8920377940; 0.0007191222; 0.0067575105
143; 93973768.1500600874; 0.0013516487; 0.0058823831
144; 93973253.1506347060; 0.0008106442; 0.0062386028
145; 93972925.5687662661; 0.0010325544; 0.0060973004
146; 93972517.7795999050; 0.0009989859; 0.0058357379
147; 93972140.1720856726; 0.0009576381; 0.0058231193
148; 93971778.9621636420; 0.0009640166; 0.0086032725
149; 93971241.7438858300; 0.0010467728; 0.0046158144
150; 93970928.7868124843; 0.0008453069; 0.0075792287
151; 93970513.8018203676; 0.0010338320; 0.0060342742
152; 93970109.7175510526; 0.0011442083; 0.0038372281
153; 93969825.3155035973; 0.0007219703; 0.0048341172
154; 93969599.2537612170; 0.0009533394; 0.0063754987
155; 93969205.5714991689; 0.0007576929; 0.0047911480
156; 93968970.4436697662; 0.0010634871; 0.0035073549
157; 93968728.8501523882; 0.0007095554; 0.0091371457
158; 93968308.9346600175; 0.0012269508; 0.0051646124
159; 93967898.5238687694; 0.0008000773; 0.0071513991
160; 93967527.9328203052; 0.0010069799; 0.0044069457
161; 93967240.5109027177; 0.0008497043; 0.0076138086
162; 93966821.4840416312; 0.0010875494; 0.0055316938
163; 93966431.8264280409; 0.0007123272; 0.0067285140
