RSD ALGORITHM rho=4
iter; objective; relative_gap; active_vertices; alphas
1; 36079678.2714285851; 0.2019371288; 2; alpha[1]=0.52421245 alpha[2]=0.47578755 
2; 35898421.3845973983; 0.0318863376; 3; alpha[1]=0.34383548 alpha[2]=0.40364087 alpha[3]=0.25252365 
3; 35784053.0382312611; 0.0139585448; 4; alpha[1]=0.10709431 alpha[2]=0.37109469 alpha[3]=0.15184433 alpha[4]=0.36996667 
4; 35759025.1004638895; 0.0064824399; 4; alpha[2]=0.20653601 alpha[3]=0.10489127 alpha[4]=0.50623109 alpha[5]=0.18234163 
5; 37760157.7421003580; 0.0050047211; 2; alpha[5]=0.21380372 alpha[6]=0.78619628 
6; 36239607.1040723920; 0.1782655574; 2; alpha[6]=0.65431024 alpha[7]=0.34568976 
7; 36040573.7084848806; 0.0354942636; 3; alpha[6]=0.52976409 alpha[7]=0.22001136 alpha[8]=0.25022456 
8; 35975291.3467019498; 0.0211631993; 4; alpha[6]=0.49221090 alpha[7]=0.11654187 alpha[8]=0.25253109 alpha[9]=0.13871614 
9; 35770253.3152305931; 0.0202619843; 4; alpha[6]=0.47016141 alpha[8]=0.12156560 alpha[9]=0.05851858 alpha[10]=0.34975440 
10; 35759712.8994174227; 0.0049708251; 4; alpha[6]=0.48365859 alpha[8]=0.07530659 alpha[10]=0.33291719 alpha[11]=0.10811763 
11; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900864 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[12]=0.06278157 
12; 35759712.8994174227; 0.0062720425; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[13]=0.07530659 
13; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[14]=0.06278157 
14; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[15]=0.07530659 
15; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[16]=0.06278157 
16; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[17]=0.07530659 
17; 35763254.9785133600; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[18]=0.06278157 
18; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[19]=0.07530659 
19; 35763254.9785133600; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[20]=0.06278157 
20; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[21]=0.07530659 
21; 35763254.9785133600; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[22]=0.06278157 
22; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[23]=0.07530659 
23; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[24]=0.06278157 
24; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[25]=0.07530659 
25; 35763254.9785133675; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[26]=0.06278157 
26; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[27]=0.07530659 
27; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[28]=0.06278157 
28; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[29]=0.07530659 
29; 35763254.9785133675; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[30]=0.06278157 
30; 35759712.8994174376; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[31]=0.07530659 
31; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[32]=0.06278157 
32; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[33]=0.07530659 
33; 35763254.9785133600; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[34]=0.06278157 
34; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[35]=0.07530659 
35; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[36]=0.06278157 
36; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[37]=0.07530659 
37; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[38]=0.06278157 
38; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[39]=0.07530659 
39; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[40]=0.06278157 
40; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[41]=0.07530659 
41; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[42]=0.06278157 
42; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[43]=0.07530659 
43; 35763254.9785133675; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[44]=0.06278157 
44; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[45]=0.07530659 
45; 35763254.9785133600; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[46]=0.06278157 
46; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[47]=0.07530659 
